stage,lane,milestone,title,completing_features,verifying_features,advances,depends_on,extra_depends_on,own_effort_lo,own_effort_hi,effort_lo,effort_hi,owner,target_start,target_merged,demo_scenes,completion_conditions,notes
B23,B,M1,"Interface completion: MaterialChangeRaised, ReviewConvened, the Acquire stream, RetrieveContext, CommitGraphRevision, BranchScenario; BRF@v2; the register 50/0/0",,,F-P6-07 F-P6-14 F-P1-09 F-P3-16 F-P3-08 F-P4-08 F-P6-12,,,1.5,2.5,1.5,2.5,A1,2026-09-28,2026-10-01,"B23-1 L10-I02: a Bab el-Mandeb closure bulletin moves the corridor warning; MaterialChangeRaised@v1 is published in the same transaction, the attention consumer routes it to the COO first with its consequence/confidence/urgency and the policy version, a duplicate delivery changes nothing, and a malformed event is quarantined for review || B23-2 L10-I03: L. Brandt convenes a governed review of the dual-sourcing package on that change; ReviewConvened@v1 names the subject, the purpose, the convener and the participants, and the room shows the review opened || B23-3 L1-I02: the corridor feed is acquired as a flow-controlled stream of segments under a stable partition key; the consumer applies backpressure, the run is interrupted and resumes from its cursor, and a gap is reported as an explicit incomplete range || B23-4 L3-I02: A. Hoffmann asks for the corridor context under the purpose ""sourcing decision""; one query returns the policy-filtered memory with explanation links, declares its revision and staleness, and a withdrawn projection yields a declared partial answer, not a silent one || B23-5 L4-I02: K. Müller commits the supplier→port→route change set as one graph revision; a conflicting expected revision is rejected, a retry with the same idempotency key returns the first result, and a validation failure leaves nothing applied || B23-6 L7-I02: N. Eriksen adds a user-defined ""regional blockade"" branch to the declared corridor scenario after its declaration; the branch is versioned, a duplicate submission is idempotent and a stale version is refused || B23-7 BRF@v2: the weekly NORDWERK briefing gains its attention section listing the closure with its confidence band and the material changes since the last edition; a v1 reader still reads the edition","L10-I02 bound: MaterialChangeRaised@v1 published transactionally with consequence, confidence, urgency and the attention-policy version; at-least-once delivery with consumer de-duplication and checkpoint; an invalid event quarantined; the committed publication reconciled — each proven by a focused harness case (positive, duplicate, quarantine, reconcile) || L10-I03 bound: ReviewConvened@v1 opened around a declared objective, decision, scenario, commitment or outcome by a named human; delivery, de-duplication and quarantine as L10-I02 || L1-I02 bound: the Acquire command with its stream form — at-least-once segments under a stable partition key, backpressure, resume from a cursor, an explicit incomplete range — the existing command form unchanged || L3-I02 bound: one purpose-bound RetrieveContext query — policy-filtered memory with explanation links, no state change, revision and staleness explicit, partial/stale only with the declared product state || L4-I02 bound: CommitGraphRevision — an atomic validated change set of nodes, edges, ontology references and provenance; idempotent acceptance with one authoritative effect; conflict rejected; retry only under the same idempotency key || L7-I02 bound: BranchScenario — a versioned upside/downside/disruption/user-defined branch added after declaration; idempotent; conflict rejected || BRF@v2: the briefing attention section; v1 readers unaffected || the interface register asserted 50 bound / 0 partial / 0 unbound in the migration and the pinned tests || the 49 STALE_STATUS_CANDIDATES rows each checked against the code — moved with evidence or kept with the reason recorded || the required gates green locally (unit, integration on a fresh database, acceptance, the upgrade proof, the browser suites); act-b23 scenes B23-1…B23-7 held on the rehearsal copy and then on eye_demo; the hosted ci and C19 runs completed successfully; one records commit. B23 completes no feature group: it advances F-P6-07, F-P6-14, F-P1-09, F-P3-16, F-P3-08, F-P4-08 and F-P6-12, whose other remaining clauses stay open","the six partial register rows L10-I02, L10-I03, L7-I02, L4-I02, L3-I02, L1-I02 → bound (50/0/0); BRF@v2 (schema registry 36→37); plus the register-reconciliation records step (apply the verified stale-status candidates)"
B24,B,M1,Attention completion (the B22 deferrals),F-P6-07,,,B23,B23,0,0,1.5,3,A1,2026-09-30,2026-10-06,"F-P6-07: a Bab el-Mandeb closure raises MaterialChangeRaised; the queue ranks it first for the COO with the reasons, N. Eriksen snoozes a minor item with a reason, an unacknowledged item escalates by email after its window","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","timer host for escalation (the scheduler), overload rule enforced, remaining materiality dimensions, suppression approval step, source-health markers constraining decision-active use and reaching packages through runs/assumptions, remediation workflow on coverage loss, extraction run triggered from a selected plan | DELIVERED 2026-09-25 (0086, phase6-b24; act-b24 ALL SCENES HELD on eye_demo) EXCEPT two clauses carried to B28: the remediation workflow on coverage loss, and markers reaching packages through ASSUMPTIONS (through runs delivered); F-P6-07 stays partial on D6 (a real provider), novelty (no input), opportunity/commitment item classes (B32/B34 objects), a fairness measure and an `act` transition"
B25,B,M1,"Forecasting portfolio I: grounded context, multi-method horizons, ensembles",F-P4-01 F-P4-02 F-P4-03,,,,,0,0,6,10,A1,2027-02-17,2027-03-05,"F-P4-03: a corridor forecast pins the twin snapshot and graph revision it used; a later graph change leaves the replayed package unchanged || F-P4-01: N. Eriksen forecasts Bab el-Mandeb transit delay at 30d (event method, intervention window) and 5y (regime language), the package showing different methods per horizon || F-P4-02: two methods disagree on the corridor delay forecast; the package shows both distributions, the ensemble and the assumption that splits them; N. Eriksen adds a labelled judgement overlay","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B26,B,M1,"Forecasting portfolio II: explanation, fitness/refresh/scoring, review workspace",F-P4-04 F-P4-05 F-P4-06,,,B25,,0,0,4,7,A1,2027-06-11,2027-06-23,F-P4-04: the Suez/Bab el-Mandeb delay forecast shows its top drivers and a sensitivity bar; a data gap trips a declared failure condition and the package abstains instead of issuing || F-P4-05: an outcome for the corridor forecast lands; the family is assessed unfit (drift) and the forecast is re-issued automatically by the scheduler with the prior kept for replay || F-P4-06: N. Eriksen drafts the corridor forecast; a second forecaster reviews and publishes; the workspace compares the two methods and the calibration curve,"the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",includes the forecast scheduler / re-issue deferred since B21
B27,B,M1,"Scenario anatomy, sets and coherence",F-P4-07 F-P4-08 F-P4-09,,,,,0,0,5,8.5,A1,2026-12-23,2027-01-05,"F-P4-07: the ""Bab el-Mandeb closure"" scenario declares Houthi activity and insurer withdrawal as drivers, carriers as actors; invalidating the insurer assumption suspends the disruption branch and tasks its owner || F-P4-08: L. Brandt compares baseline, disruption and user-defined ""regional blockade"" branches side by side for the Regensburg supply decision; a missing stress branch is flagged before the recommendation is allowed || F-P4-09: two corridor branches that differ only in wording fail the distinctiveness check; the scenario shows its missing freight-rate indicator as stale","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",branch suspension; frequency-to-probability mapping object (deferred since B21)
B28,B,M1,"Stream processing, weak-signal workbench, early-warning lifecycle",F-P4-10 F-P4-11 F-P4-12,,,B24,,0,0,7,12.5,A1,2026-10-05,2026-10-22,"F-P4-11: AIS/PortWatch transit events arrive late and out of order; the corridor rule fires on event time and labels the late window instead of hiding it || F-P4-10: a cluster of low-confidence reports on Red Sea insurer withdrawals is nominated as a weak signal; A. Hoffmann tests source independence and marks it ""monitor"" with a falsify condition || F-P4-12: three sources report the same Bab el-Mandeb incident; one deduplicated warning carries all three with a contradicting report, the affected Regensburg objective and a simulation playbook","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration","warning dedup/storm grouping, owned response windows, escalation service over the B24 queue | carried from B24 (2026-09-25): the remediation workflow on coverage loss (with F-P4-12's coverage gaps attached); source-impact markers reaching packages through assumptions"
B29,B,M1,"Twin families, composition and simulation methods",F-P5-01 F-P5-05,,,,,0,0,7,12,A1,2026-10-21,2026-11-06,F-P5-05: the Regensburg line is simulated as a discrete-event model under a 3-week bearing shortage; the constraint engine refuses a plan that exceeds warehouse capacity || F-P5-01: NORDWERK enterprise twin composes the Regensburg plant process twin and the corridor supply-chain twin; a capacity change in one propagates to the other,"the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B30,B,M1,"Twin state, reconciliation, envelope and calibration",F-P5-02 F-P5-03 F-P5-04,,,B29,,0,0,5.5,9.5,A1,2027-03-11,2027-03-26,"F-P5-02: a new PortWatch transit count arrives; the estimator proposes corridor capacity 62%, a conservation check passes and the twin owner approves the material change into a new snapshot || F-P5-03: the corridor twin is branched for a blockade; merging the branch back is refused until reconciliation; the explorer shows the snapshot 5 days stale with a freshness banner || F-P5-04: a 75-day corridor delay run falls outside the envelope; the behaviour is disabled for decision use and only a twin owner can admit it as exploratory","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
B31,B,M1,"Simulation orchestration, impact analysis, validity",F-P5-06 F-P5-07 F-P5-09,,,B29,,0,0,4.75,8.25,A1,2027-01-04,2027-01-15,"F-P5-06: a 5,000-path corridor experiment runs in the background under an approved budget, checkpoints halfway, is paused and resumed, and completes with its manifest || F-P5-07: the corridor closure run shows the second-order effect on Regensburg delivery dates and a tornado chart; VOI says one more week of transit data is worth waiting for || F-P5-09: a challenged corridor run is upheld and invalidated; L. Brandt's package shows the input invalidated and the option citing it is refused","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",decision gate on unpromoted runs (deferred since B21)
B32,B,M1,"Strategy Graph, risk and opportunity, Strategic Health Score",F-P4-13 F-P6-08 F-P6-09,,,B28,,0,0,7,12,A1,2026-11-05,2026-11-23,"F-P6-09: the ""on-time delivery 95%"" objective is linked to the Regensburg assembly capability and the dual-sourcing initiative; the gap view shows the capability under-evidenced || F-P4-13: the corridor closure is registered as a risk to the Regensburg line with exposure and appetite breach; the risk owner accepts the assessment and a mitigation decision is opened || F-P6-08: NORDWERK's supply-resilience dimension drops from 71 to 58; drilling down shows the corridor risk component, its evidence and that one measure is 9 days stale","the completing features' remaining clauses (FEATURE_TRACKER.csv) implemented and demonstrated locally; a focused harness per clause (positive, refusal, recovery); the required gates green; the stage's act held on the rehearsal copy and then on eye_demo; once B106 has merged, the stage's golden journey added to the conformance runner; the hosted ci and C19 runs completed successfully; the tracker rows moved with evidence; merged by the coordinator on the owner's word. A substitute (synthetic channel, local IdP, kind, public or synthetic feed) demonstrates the software but never closes a clause that requires the real external integration",
