feature_id,title,package,capability_areas,spec_refs,volumes,stage,lane,milestone,owner,depends_on,status,rows,rows_implemented,rows_partial,rows_missing,delivered,remaining,paperwork_remaining,external_prerequisites,advanced_by,effort_lo,effort_hi,stage_effort_lo,stage_effort_hi,verify_stage,verify_effort_lo,verify_effort_hi,target_date,demo_scenes,evidence
F-R0-01,"Closed strategic loop, human decision authority and Decision Replay",R0,decision,"V0 C-004, C-025, V00-T-011/-029/-066; V10 IR-04-003, V10-T-001",V0:5 V10:2,(none — functioning),,implementation,,,functioning,7,7,0,0,"Named human decision authority enforced at commit (0042 commit_package) | Decision Replay reconstructs decision-time knowledge (0043, 0047-0049 replay layers) | Append-only package versions preserve every prior state (0041); one governed source-to-decision-to-outcome-to-replay journey (act files, hosted CI)",,Keep the replay evidence bound to each release (records only),,,0,0.25,0,0.25,,0,0,delivered,A Bab el-Mandeb diversion warning becomes a NORDWERK sourcing decision package; the executive (not the system) commits it; weeks later Decision Replay shows exactly what was known at commitment against the later outcome,"apps/api/migrations/0041_decision_packages.sql;apps/api/migrations/0042_decision_approvals_and_commitment.sql;apps/api/m ; migrations/0042_decision_approvals_and_commitment.sql (commit_package: C3, named human decision_authority not among appr ; migrations/0043_decision_replay.sql; 0047 prior dissent; 0048 replay_layers AS OF as_of (observed layer); 0049 replay_co"
F-R0-02,"Contract envelope: idempotent commands, revision-declaring queries, ordered events",R0,data-platform; decision; infrastructure; governance-docs,"V0 C-012; V3 ch8 V03-T-059/-060/-061/-068, ch4 V03-T-025/-026, ch25 V03-T-236, ch45 V03-T-426",V0:1 V3:8,B100,B,implementation,A1,F-P7D-15,partial,9,4,5,0,"Common envelope on every material interface (packages/contracts envelope.ts) | Outbox hardening 0015 with idempotent job ids; registered consumers since 0060/0063 (and 0083 on PR #60) | Minimum provenance and custody on every object (0006, 0022)","HTTP idempotency store reading the envelope idempotency_key (replayed command returns the original result) | Uniform query response envelope declaring source revision, freshness, coverage and partial-state markers | Read-your-writes / revision watermark token on responses | Per-aggregate ordering guarantee and event schema version on the outbox | Deadlines on queued work and a callback/reconciliation pattern for external effects",,,,1,2,0.75,1.5,H1,0.25,0.5,2027-07-02,"A NORDWERK buyer double-submits a supplier-switch command over a flaky link; the second submit returns the first result, and the Regensburg line view states the revision and freshness it was read at","migrations/0006 minimum_provenance; migrations/0022 custody_events, blob_manifests, connector_version/code_digest; test/ ; apps/api/src/pipeline/http.ts; apps/api/src/objects/outbox.publisher.ts ; packages/contracts/src/envelope.ts:19-138; apps/api/src/pipeline/http.ts:104-145; packages/contracts/test/envelope-heade"
F-R0-03,"Constitutional change, exception and terminology governance",R0,governance-docs; infrastructure,"V0 C-051, C-052, V00-T-001, V00-T-109, V00-T-111/-112/-113/-115/-116/-117 (ch26-28, App A); V1 V01-T-044; V5 AI-06-001, AI-72-005, V05-T-024",V0:10 V1:1 V5:3,B100,B,implementation,A1,,partial,14,0,10,4,DECISIONS.md ADRs and EXCEPTIONS.md with owner/approver/compensating controls | conformance.manifest.json and the atomic audit (audit/requirements) as the traceability spine,"Runtime exception register with owners, expiry and automatic review at expiry | Audited customer/operator configuration-change surface (thresholds, roles, workflows)","Amendment register and procedure instance; record implementation deviations (truth-state enum vs Appendix A) as conflicts | Terminology register reconciling the code truth-state vocabulary with the glossary | Complete per-component declarations (evaluation method, lifecycle) in the manifest; V5 requirement register and closure register",,,1,2,0.75,1.5,H1,0.25,0.5,2027-07-02,none (non-demonstrable: governance registers; at most an expiring exception visibly reopening for review),"DECISIONS.md (ADR-P0-01…17, must never contradict Volume 0); EXCEPTIONS.md (EXC-P0-001: constitutional requirements are  ; conformance.manifest.json (units -> ES/IA/ADR ids); apps/api/src/prediction/controls.ts 'ES-29-002'); audit/requirements ; conformance.manifest.json; DECISIONS.md"
F-R0-04,Scope-specific product acceptance records and evidence expiry,R0,governance-docs,"V8 ch71 PR-71-001..006, CAP-AU-11, CAP-DL-12, AT-71, JRN-24, FEX-31, ADR-023",V8:11,B107,F,implementation,A1,,partial,11,0,10,1,"Evidence packages bound to a commit (C16/C17 packaging, scripts/gate/package-c17-evidence.mjs); acceptance suite and hosted CI | C15 supply-chain green on official pins since B21 (JRN-24 C15 block no longer applies)","Acceptance-record object resolving to capability, journey, role, tenant/domain, deployment, entitlement, data/model versions, configuration, consequence class and period | Named independent and customer attestation with human-authority rule (no self-acceptance) | Acceptance-evidence expiry that constrains the capability to previously accepted scope (FEX-31) | Customer-verify and attest stages of the release journey",Per-AT journey evidence packs,Named independent assessor and customer acceptance authority to attest,,1.5,3,1,2,R2,0.5,1,2027-06-01,The NORDWERK supply-risk capability is accepted for the Regensburg domain only; its evidence expires and the workspace shows the capability constrained until re-acceptance,"apps/api/test/acceptance/acceptance.test.ts; .github/workflows/ci.yml: build-test, browser-regression, supply-chain; .gi ; apps/api/migrations/0006_objects.sql (identity, owner, times, status, provenance, policy on every canonical object); app ; apps/api/src/policy/pdp.service.ts; apps/api/test/unit/pdp.test.ts; apps/api/test/int/gate22-authority-matrix.test.ts: n"
F-R0-05,API abuse controls and release vulnerability management,R0,identity-policy; infrastructure,"V3 V03-T-419; V6 IC-26, IA-55-005, IA-69-005, INF-DL-06",V3:1 V6:4,B103,D,implementation,A3,pkg:P7-D,partial,5,0,5,0,"Schema validation and intake limiter at the API (pipeline/http.ts) | C15 trivy + gitleaks pinned by digest, promotion blocked on findings, expiring scanner exclusions, patched-image recheck; official pins restored (B22)",Per-principal/per-route rate and abuse controls at the API boundary | Revocation of affected artifacts and running-exposure identification when a vulnerability lands | Replacement/rollback execution and containment of affected assets,,Fleet inventory for the full exposure model needs the production profile (P7-D),,1,2,0.75,1.5,H1,0.25,0.5,2027-03-03,A scripted burst against the NORDWERK briefing API is throttled per principal while the executive session stays responsive,".github/workflows/ci.yml: supply-chain (C15 trivy 0.73.0 + gitleaks 8.30.1 pinned by digest, C16 lock closure, C17 Cyclo ; apps/api/src/pipeline/http.ts:104-145 (schema validation), :48-102 (intake limiter); apps/api/src/policy/pdp.service.ts; ; ci.yml supply-chain blocks on findings; scanner-exclusions with expiry; c15-patched-image-recheck.yml; test/gate/c15-run"
F-R0-06,Production proof of the closed loop,R0,decision; governance-docs,"V10 IR-01-003, V10-T-059; R-02",V10:3,R2,R,deployment-readiness,owner+A1,F-R0-04; pkg:P7-D,externally-blocked,3,1,2,0,The closed loop runs end to end on main (merged through B21) on the local Docker Compose profile,Run the loop on a production profile with independently tested controls,"Paid consequential use, repeatable deployment and verified corporate facts are business evidence",Production deployment infrastructure (P7-D) | A paying/pilot customer | Independent control assessor,,1,3,1,3,,0,0,externally gated,none (non-demonstrable on the synthetic tenant: requires a real customer deployment),apps/api/migrations/0041_decision_packages.sql;apps/api/migrations/0042_decision_approvals_and_commitment.sql;apps/api/m
F-P1-01,"Source registry, contract lifecycle, rights and credential binding",P1,observation; identity-policy; governance-docs; commercial,"V3 L1-C01, SRC; V4 ES-31-001; V7 DP-09-001/002/006; V8 PR-09-001..006, CAP-OB-01/02, AT-09, JRN-02, PER-11, FEX-02; V0 V00-T-032, V01-T-009; V10 R-09",V0:1 V1:2 V10:1 V3:3 V4:1 V5:1 V7:3 V8:11,B40,A,implementation,A2,,partial,23,7,16,0,"Versioned source contracts SRC@v1..v3 with owner, authority, rights, purpose, schema, freshness (0022, 0028, 0070) | Registrar may never approve own registration; fail-closed activation (phase1-acceptance A1) | Governed credential path: credential_ref resolved from deployment variables with credential_header (0070 §1)","Rights/purpose lifecycle beyond set_rights_state (review dates, purpose narrowing, withdrawal handling) | Cost and budget on the source; source evaluation record before approval | Source discovery stage of the registration journey | Consumer-impact evidence on contract change; enumerate affected downstream products on rights revocation | Stewardship state and lifecycle events for contracts; collection-manager blind-spot/incident ownership",Per-AT journey evidence (AT-09),,,1.5,3,1.5,3,,0,0,2026-11-06,"The collection manager registers a Red Sea shipping-notice feed, a second person approves it, then rights are revoked and the NORDWERK corridor forecasts and warnings that rested on it are listed","apps/api/src/observation/observation.controller.ts (/sources/register, approve, transition, rights, evaluate, readiness) ; apps/api/src/observation/sources/source-contract.ts; apps/api/src/observation/sources/sources.service.ts; apps/api/migra ; migrations/0022 (authorization, rights_state, lifecycle retire, health events, schema drift tolerance); apps/api/src/obs"
F-P1-02,"Evidence vault, custody, authenticity and source-side retention",P1,observation; data-platform,"V0 V00-T-002/-033/-120/-122; V3 EVD, L1-C05, L1-C06, L1-I05; V2 V02-T-038/-039; V4 ES-29-002/-004; V5 AI-39-003",V0:4 V2:2 V3:4 V4:2 V5:1,B40,A,implementation,A2,,partial,13,7,6,0,"Digest-verified vault with custody chain and four times (0022); CorrectionReceived without destroying history | Retention schedules, legal holds, governed deletion with residual inventory (0066 §4, 0070, 0071); archive/restore tiers (0072)","Source-authenticity verification (publisher signatures, TLS identity pinning) as a measured quality dimension | Geographic scope, language, sensitivity and licence as evidence-object fields | Most-restrictive obligation inheritance on derived objects with authorized transformation rules | Vault restore exercise",,,,1,2,1,2,,0,0,2026-11-06,A signed customs bulletin for the Djibouti transshipment hub verifies; a tampered copy is admitted only as authenticity-failed and the Regensburg supply claim built on it shows the weaker trust,"migrations/0022 (contracts with rights, custody_events, blob_manifests, four times); test/int/phase1-acceptance.test.ts ; migrations/0022 (evidence header: connector, connector_version, method_ref, content_digest, classification, tenant; four ; migrations/0022 blob_manifests, vault (apps/api/src/observation/vault); digest verified pre-store, post-store and on rea"
F-P1-03,"Intake validation, quarantine and content-safety sandbox",P1,observation; identity-policy; infrastructure; data-platform,"V3 V03-T-042/-413/-074/-268/-276, L1-C07; V0 V00-T-035; V4 ES-31-005; V5 AR-011; V6 IC-19; V7 DP-16-001/005/006, DAT-IN-11/12, DF-03, SP-22; V8 PR-16-001..006, CAP-OB-11/12, AT-16",V0:1 V3:6 V4:1 V5:1 V6:1 V7:7 V8:8,B40,A,implementation,A2,F-P1-02,partial,25,3,21,1,"Quarantine with reason and second-operator release (e2e phase1 step 8); schema-drift/integrity/malformed-archive/classification-ceiling dispositions | Structural hostile-input controls, SSRF refusal, redaction (content-controls.ts, http-client.ts; phase1-hostile-input)","Anti-malware engine and sandboxed parsing of documents (malware corpus, quarantine-escape and decompression exercises) | Prompt-injection / hidden-instruction detection at intake with quarantine | Rights, duplicate and quality review reasons in the intake queue; quality score on intake items | Upload approval workflow for manual governed upload | Locality and quality validation beyond label checks; evidence-restore exercise",Per-AT journey evidence (AT-16),,,2,3,2,3,,0,0,2026-11-06,"A supplier PDF for the Regensburg line carrying a macro payload and a hidden instruction is quarantined; the analyst sees why, and a second operator rejects it",apps/api/src/observation/quarantine/quarantine.service.ts; apps/api/src/observation/acquisition/lifecycle.service.ts; ap ; apps/api/src/observation/quarantine/quarantine.service.ts; apps/api/src/observation/vault/vault.service.ts; apps/api/src ; apps/api/src/observation/quarantine/quarantine.service.ts; test/int/phase1-hostile-input.test.ts
F-P1-04,"Acquisition-time policy: rate, robots, licence, residency, window",P1,observation; data-platform,"V3 L1-I02, V03-T-072/-073/-266; V4 ES-31-007, V04-T-019; V7 DP-10-005",V3:4 V4:2 V7:1,B40,A,implementation,A2,F-P1-01,partial,7,0,7,0,"Scheme/host allowlist, private-address refusal, size/redirect limits; bounded BullMQ retry (http-client.ts, scheduler)",Per-contract rate limiting and contract-specific backoff | Robots and licence terms evaluated at acquisition (not just recorded) | Residency assigned and evaluated at ingress; collection window resolved at authorization | Rights lifecycle enforced at collection time; manipulation/duplicate detection on source responses,,,,1,2,1,2,,0,0,2026-11-06,A port-authority API throttles NORDWERK collection; the scheduler backs off per contract and the corridor coverage view shows the rate-limited interval instead of a silent gap,"apps/api/src/observation/connectors/http-client.ts:8,42-43,188-211 (scheme/host allowlist, private-address refusal); app ; apps/api/src/observation/acquisition/orchestrator.service.ts; apps/api/src/observation/acquisition/lifecycle.service.ts; ; apps/api/src/observation/acquisition/lifecycle.service.ts (tenant/classification at intake); packages/contracts/src/head"
