id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes,source_ref,evidence_scope
C-001,V0,"App C / ch.2 Mission, Category, and Doctrine",App C (after PARA 401),"The Eye shall be conceived, designed, sold, and operated as a Strategic Intelligence Operating System. It shall not be reduced to a chatbot, dashboard, BI tool, copilot, or reporting product.",V00-F001,governance-docs,partial,not-applicable,branch-only,not-applicable,P7-A,"apps/api/src (modules observation, intelligence, graph, prediction, twin, decision, executive); conformance.manifest.json; DECISIONS.md","The operating loop is only complete once agents (P7-A), governed learning (P7-B), marketplaces (P7-C) and the executive surface (P6) exist; today the product is the governed data/decision spine without the OS-level agent society.","Product-conception invariant; the whole register (P1–P7-F) is its remaining work. Inherited by V1 ch.4, 40, 41.",v00.txt:para 401:L654-L710,branch+main
C-002,V0,App C / ch.6 The Strategic Intelligence Lifecycle,App C (after PARA 401),"The product shall implement one continuous operating loop: Observe, Understand, Predict, Simulate, Decide, and Learn. No stage may be treated as a disconnected feature island.",V00-F002,executive-os,partial,passed:harness,branch-only,phase6,P7-B,"migrations/0022 (observe) -> 0023 (understand) -> 0024 (graph) -> 0029 (predict) -> 0032/0033 (twins, simulate) -> 0041/0042 (decide) -> 0045 decision.record_outcome/close_package; test/int/phase6-monitoring.test.ts: 'closure records the lessons as text on the outcomes'; test/int/phase4-acceptance.test.ts: 'D4 an outcome is scored'","The Learn stage stops at lessons-as-text on a closed package: no lesson object entering memory, no model/agent evaluation fed by outcomes, no governed release of improvements (master build prompt Phase 7).","Delivered chain Observe..Decide on main (Phases 1–5) and branch (Phase 6); Learn scheduled for Phase 7. Related: C-044, C-025.",v00.txt:para 401:L655-L710,branch+main+test
C-003,V0,App C / ch.2 Category definition,App C (after PARA 401),"Interfaces such as chat, dashboards, reports, and APIs may exist, but they are access modes to the operating system rather than the product definition.",V00-F003,ux,partial,not-applicable,branch-only,phase0,P7-E,apps/web/app/** (thin governed client over the API; every page reads the same governed objects); apps/web/lib; packages/contracts (ADR-P0-13); no conversational interface exists,Unified shell and complete workspaces (P7-E); if a conversational access mode is added it must go through the same PDP/provenance path (no design yet).,Design constraint rather than behaviour; satisfied by construction so far. | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L656-L710,branch+main
C-004,V0,App C / ch.5 Decision sovereignty,App C (after PARA 401),"A named human authority shall make every final strategic or high-impact decision. The system may advise, prepare, and execute approved workflows, but it shall not silently assume decision rights.",V00-F004,decision,implemented,passed:harness,branch-only,phase6,R0,"migrations/0042_decision_approvals_and_commitment.sql (commit_package: C3, named human decision_authority not among approvers); apps/api/src/decision/approvals/approval.service.ts; test/int/phase6-approvals.test.ts: 'the human gate at the PEP: a non-human principal holding decision_authority is refused before any port', 'the ROUTE pins C3 whatever the envelope claims'; test/int/phase6-agents.test.ts: 'approve, dissent and commit are refused at the PDP with no grant'",Merge of PR #46 behind C15 (R0). Override of a recommendation is not a recorded object (ch.5 'any override' — see V00-T-024).,"The only decision object is the package; agents hold no approval or commitment write. V1 ch.6, 16.",v00.txt:para 401:L657-L710,branch+test
C-005,V0,App C / ch.5 Explanation without performative transparency,App C (after PARA 401),"Every material forecast, scenario, simulation result, risk, opportunity, and recommendation shall expose evidence, assumptions, uncertainty, lineage, alternatives, and accountable system versions.",V00-F005,decision,partial,passed:harness,branch-only,phase6,P6,"migrations/0029 (fct_names_drivers, fct_names_assumptions, evidence_refs required); migrations/0033 (run schema requires sensitivity, model, environment, operator); migrations/0048 (option uncertainty and controls derived at the port from cited records); test/int/phase6-review-corrections.test.ts: 'uncertainty and controls are derived at the port from the cited records'; test/int/phase6-decisions.test.ts: 'an option on a completed run binds version and digest, is SIMULATED, and carries uncertainty'; decision.dissent (0041)","Risks and opportunities are free-text arrays on a package, not explained objects; warnings carry no alternatives; no layered explanation surface (executive/analyst/auditor) in the UI; agent/model versions are not shown on every material output.","Forecasts (P4), simulations (P5) and packages (P6) satisfy the object-level part. V1 ch.5, 16, 29, 34.",v00.txt:para 401:L658-L710,branch+test
C-006,V0,App C / ch.3–4,App C (after PARA 401),"The common platform shall satisfy enterprise requirements for governance, security, scale, auditability, reliability, and lifecycle management from its first production architecture.",V00-F006,infrastructure,partial,passed:ci,merged,phase0,P7-D,"migrations/0009 (privilege separation), 0004/0005 (audit chain), RLS on every scoped table (test/int/domain-isolation.test.ts); .github/workflows/ci.yml: build-test, browser-regression, supply-chain; c15-patched-image-recheck.yml, c17-finalize.yml, c19-lifecycle.yml; docker-compose.yml (images pinned by digest); EXCEPTIONS.md EXC-P0-001","No HA/PITR/DR, telemetry, error budgets, capacity evidence or deployment profiles (P7-D); C15 util-linux image findings keep the release gate red (register §4, R-3); FINAL C16/C17 chain not run (R0).",Governance/audit/isolation are enterprise-grade; scale and reliability are unmeasured.,v00.txt:para 401:L659-L710,main+test
C-007,V0,App C / ch.4 Domain specialization,App C (after PARA 401),"A single domain-neutral core shall serve all customer classes. Domain ontologies, models, workflows, agents, and policies may extend the core without forking its constitutional semantics.",V00-F007,governance-docs,partial,passed:harness,branch-only,omission,P7-C,migrations/0002 tenancy.domains; migrations/0006 objects.schema_registry; migrations/0032 twin.twin_kind_schemas; test/int/domain-isolation.test.ts,"No extension mechanism: domain packs (ontology extensions, connectors, policies, metrics, twin templates, model suites, agent capabilities, executive views) with namespace/owner/evidence/evaluation/compatibility/lifecycle declarations do not exist (ch.4, V00-T-022).",The neutral core is Phase 0–6; governed specialization was never scheduled by the build prompt (omission). Ontology governance belongs to P3. | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L660-L710,branch+main+test
C-008,V0,App C / ch.7 Canonical Architecture,App C (after PARA 401),"The ten named architecture layers are the canonical product structure. Cross-cutting planes may support them but shall not replace, collapse, or rename them without constitutional amendment.",V00-F008,governance-docs,partial,not-applicable,branch-only,phase0,P3,"apps/api/src: observation (L1), intelligence (L2), graph (L3/L4), twin (L5, L8), prediction (L6, L7), decision (L9), executive (L10); conformance.manifest.json (units mapped to layers/components)",L3 Enterprise Memory has no dedicated service (memory is canonical objects + graph search); L2 is extraction only; layer names are not the product's navigation structure in the web shell.,Ten layers preserved logically; not collapsed or renamed. | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L661-L710,branch+main
C-009,V0,"App C / ch.7, 11 Knowledge Graph",App C (after PARA 401),"The Knowledge Graph shall be the connected semantic heart of The Eye and the shared context substrate for memory, twins, reasoning, prediction, scenarios, simulations, and decisions.",V00-F009,memory-graph,partial,passed:harness,branch-only,phase3,P3,"migrations/0024_graph_entities_edges_and_strategy.sql; 0025 impact; 0026 edge supersession; test/int/phase5-twins.test.ts: 'a twin without a boundary entity is refused'; migrations/0029 issue_forecast (assumptions must be strategy-graph ASUs); migrations/0041 (objectives are OBJs, packages reach the DEC); migrations/0048 replay_layers reads graph state","Ontology governance, hybrid semantic retrieval, permission-aware embeddings, graph reasoning for prediction/simulation/agents, master identity across languages (P3).",Anchoring is enforced at the ports; the graph's reasoning role is thin. | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L662-L710,branch+main+test
C-010,V0,App C / ch.9 Time and revision; ch.3 prohibitions,App C (after PARA 401),"Observed evidence, extracted claims, inferred relationships, model outputs, human judgments, and synthetic scenario data shall remain explicitly distinguishable throughout the system.",V00-F010,data-platform,implemented,passed:harness,branch-only,phase0,done,"migrations/0006 truth_state CHECK ('observed','asserted','extracted','inferred','assessed','synthetic','decided','disputed','withdrawn') + synthetic_consistency; migrations/0035 twin.ground_element (extracted cannot ground observed); apps/api/src/prediction/controls.ts foldControls (synthetic folds upward); test/int/phase5-twins.test.ts: 'E2 · synthetic state folds UPWARD'; test/int/phase5-simulations.test.ts: 'the SIM object SYNTHETIC'; e2e/phase6-decisions.demo.spec.ts: 'SYNTHETIC consequences'","The stored enum differs from the glossary (no 'predicted','simulated','approved','superseded'; ADR-P0-06 maps them) — record as a conformance note, not a conflict, or amend; Phase 7 agent/learning outputs must adopt the enum.",Ambiguity for the owner: Appendix A truth states vs migration 0006 enum. | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L663-L710,branch+main+test
C-011,V0,"App C / ch.9, 11, 20",App C (after PARA 401),"Material facts and relationships shall preserve event time, observation time, validity time, and system-record time so that past world states can be reconstructed without hindsight contamination.",V00-F011,data-platform,implemented,passed:harness,branch-only,phase0,done,"migrations/0006 (event_time, valid_from/valid_to, recorded_at, source_clock_quality; ADR-P0-07); test/int/phase1-acceptance.test.ts: 'four times are populated per the type rules', 'a known-at query reproduces the pre-correction state without hindsight'; apps/api/src/prediction/forecasting/forecasting.service.ts and src/decision/** (known_at, observed_through, decided_at, as_of); apps/api/src/twin/twins/twin.service.ts asOf; migrations/0037 branch_state_as_of under both clocks; migrations/0048 decision.replay_layers AS OF; migrations/0049 replay_contributors; test/int/phase5-twins.test.ts: 'RECORD time…', 'WORLD time…'; test/int/phase6-replay.test.ts: 'an earlier as_of excludes what came after it'","None for the delivered layers; Phase 7 agents, evaluations and learning must read under the same cut-offs (P7-A/P7-B).",The four clocks are enforced at ports and replay; Phase 6 corrections (0048/0049) are branch-only. | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L664-L710,branch+main+test
C-012,V0,"App C / ch.8, 19",App C (after PARA 401),"Every material intelligence object shall carry source, chain of custody, transformation history, ownership, rights, quality, and version lineage back to its evidence.",V00-F012,data-platform,implemented,passed:harness,branch-only,phase1,R0,"migrations/0006 minimum_provenance; migrations/0022 custody_events, blob_manifests, connector_version/code_digest; test/int/phase1-acceptance.test.ts: 'every admitted item carries source identity, method, connector version, agent identity and code digest'; migrations/0023 intelligence.claim_lineage; test/int/phase2-acceptance.test.ts: 'the schema REFUSES a claim whose lineage is incomplete'; apps/api/src/prediction/controls.ts foldControls (inherited controls, fail-closed); migrations/0048/0049 (APR, CMT, RPL and briefings fold the controls of every contributor); test/int/phase6-review-corrections.test.ts: 'the version folds to confidential with the licence'; test/int/phase5-propagation.test.ts",Merge 0048/0049 (R0); rights enforcement at export once export exists (P7-F); a graph-addressable provenance view in the UI end to end (P7-E).,Provenance and inherited controls are the Phase 6 review-correction theme (PHASE6_REPORT.md §12). | UNRESOLVED pointer(s) at 2e83945: reverse path: migrations/0034 invalidations affected_twins/affected_simulations | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L665-L710,branch+main+test
C-013,V0,App C / ch.8 Source universe; App B,App C (after PARA 401),The World Observation Layer shall support the full canonical source universe and allow governed custom sources without architectural rework.,V00-F013,observation,partial,passed:harness,branch-only,omission,P1,"apps/api/src/observation/connectors (rss.connector.ts, rest.connector.ts, upload.connector.ts, replay.ts); L1_CONNECTOR_COVERAGE.md (3 of 20 classes, all partial); SOURCE_INTEGRATION_STATUS.md (10 contracts, 4 live); e2e/phase1-observation.spec.ts","17 source classes absent (governments, regulations, markets, research, papers, patents, filings, supply chains, IoT, ERP/CRM CDC, satellites, climate, geopolitical, social, disconnected imports); credential binding path (SOURCE_INTEGRATION_STATUS §6); streaming/event ingestion; anti-malware sandbox.",Phase 1 scheduled three connectors only; the universe was never scheduled. PortWatch/Comtrade blocked by rights/decision. | UNRESOLVED pointer(s) at 2e83945: migrations/0038–0040 scheduled collection (branch) | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L666-L710,branch+main+test
C-014,V0,"App C / ch.8, 12",App C (after PARA 401),"Sources, derived data, twins, models, and intelligence products shall declare measurable freshness, completeness, quality, and expiry expectations.",V00-F014,observation,partial,passed:harness,branch-only,phase1,P1,"migrations/0022 (freshness_threshold_seconds, cadence, coverage_measurements, source_health_events, quarantine expires_at); migrations/0028 (freshness_expectation, coverage_expectations); apps/api/src/observation/coverage/coverage.service.ts; e2e/phase1-observation.spec.ts: '5. coverage reports the planted gap'; test/int/phase6-scheduled-collection.test.ts: 'an UNCHANGED response is confirmed… freshness advanced'; migrations/0029 (refresh_cadence, supersession, response windows); migrations/0032/0035 twin element health and verification_state","Twins, behaviour models and intelligence products declare no freshness/expiry (staleness by age is not computed); memory writes have no expiry; freshness is not measured as an SLO.",Source side is delivered; derived-product side is not. | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L667-L710,branch+main+test
C-015,V0,App C / ch.10 Durability and forgetting,App C (after PARA 401),"The Eye shall preserve institutional context, decisions, assumptions, evidence, outcomes, and lessons as durable memory, subject to lawful retention, deletion, and customer policy.",V00-F015,memory-graph,partial,unverified,branch-only,omission,P3,"migrations/0041/0043/0045 (package versions, dissent, replays, outcomes, lessons text); migrations/0014 evidence deauthorization; migrations/0022 blob_tombstones (reason); apps/api/src/prediction/controls.ts retention_profile carried","Retention schedules, legal holds, archival tiers, redaction and verifiable deletion preserving audit facts (ch.10) do not exist; lessons are text on a closed package, not governed objects.","Lawful-forgetting capabilities were never scheduled (omission); P3 'lawful lifecycle across derivatives'. | UNRESOLVED pointer(s) at 2e83945: append-only event tables with projections across all schemas (e.g. migrations/0006 recorded_at, *_append_only triggers) | release_status merged → branch-only from the evidence at 2e83945 | passed:harness lacked a resolved test/CI pointer → unverified",v00.txt:para 401:L668-L710,branch+main
C-016,V0,App C / ch.10 Memory writes,App C (after PARA 401),"Memory shall be permission-aware, tenant-isolated, versioned, retrievable, correctable, and protected from unverified model output becoming accepted organizational truth.",V00-F016,memory-graph,partial,passed:harness,merged,omission,P3,"apps/api/src/graph/search/search.service.ts (permission-aware search inside the caller's governed read, no existence oracle); test/int/domain-isolation.test.ts; migrations/0023 review queue; apps/api/src/intelligence/review/review.service.ts (correct = new version, prior untouched); test/int/phase2-acceptance.test.ts: 'every claim below the review threshold has a queued case', 'an abstention is its own outcome'","Retrieval is normalised-name metadata matching, not semantic/hybrid retrieval (Phase 3 scheduled 'permission-aware semantic retrieval'); no assessment object with governed acceptance; no expiry/review status on memory writes beyond claims.",Semantic retrieval is an omission against the Phase 3 plan.,v00.txt:para 401:L669-L710,main+test
