unit_id,statement,condition,source_rows,primary_source,capability_area,mandatory,profiles,evidence_class,status,package,evidence,remaining_work,notes
AU-OBS-0001,"A support matrix names each of the 20 canonical source classes of Volume 0 Appendix B (Governments, Regulations, News, Financial Markets, Research, Scientific Papers, Patents, Company Filings, Supply Chains, IoT, ERP, CRM, Internal Documents, Satellites, Climate, Geopolitical Events, Social Signals, APIs, RSS, Custom Sources) with its connector, live/replay/blocked status and evidence, and the product acquires every class through a governed connector.","All deployment profiles; a class not yet acquirable must be shown as a visible coverage limit, never silently excluded.",V0:C-013; V0:V00-T-118; V0:V00-T-008; V0:V00-T-002; V2:V02-T-175; V2:V02-T-176; V2:V02-T-177; V7:DP-10-001; V7:DAT-IN-04; V1:V01-T-009,V0:C-013,observation,yes,all,harness,open,P1,"apps/api/src/observation/connectors (rss.connector.ts, rest.connector.ts, upload.connector.ts, replay.ts); L1_CONNECTOR_COVERAGE.md (3 of 20 classes, all partial); SOURCE_INTEGRATION_STATUS.md (10 contracts, 4 live); e2e/phase1-observation.spec.ts; L1_CONNECTOR_COVERAGE.md (RSS full; News, Internal Documents, APIs, Custom Sources partial; 15 classes not implemented); L1_CONNECTOR_COVERAGE.md; apps/api/src/observation/coverage/coverage.service.ts; e2e/phase1-observation.spec.ts '5. coverage reports the planted gap'; migrations/0022 (contracts with rights, custody_events, blob_manifests, four times); test/int/phase1-acceptance.test.ts; L1_CONNECTOR_COVERAGE.md (governments, regulations, markets, research, papers, patents, filings, climate, geopolitics, social: Not implemented); SOURCE_INTEGRATION_STATUS.md §3 (eu-sanctions live, ecb-eurusd live, worldbank live, gdelt replay); apps/api/src/observation/connectors/rss.connector.ts; apps/api/src/observation/connectors/rest.connector.ts (generic REST poller); SOURCE_INTEGRATION_STATUS.md (imf-portwatch BLOCKED — RIGHTS); L1_CONNECTOR_COVERAGE.md (IoT, satellites, climate: Not implemented); apps/api/src/observation/connectors/upload.connector.ts (PDF/DOCX/CSV); e2e/phase1-observation.spec.ts: the registrar registers a source through the four-step form; L1_CONNECTOR_COVERAGE.md (ERP, CRM: Not implemented); apps/api/src/observation/connectors/rest.connector.ts; apps/api/src/observation/acquisition/lifecycle.service.ts; L1_CONNECTOR_COVERAGE.md (1 class covered, 4 partial, 15 not implemented); SOURCE_INTEGRATION_STATUS.md §3 (ECB, EU sanctions, World Bank live); apps/api/test/int/phase1-acceptance.test.ts: A2/A6; apps/api/test/int/phase6-scheduled-corrections.test.ts; SOURCE_INTEGRATION_STATUS.md §3 (ECB, EU sanctions, World Bank live; PortWatch rights-blocked); see C-012, C-013, C-014; V00-T-119…125","Publish the 20-class support matrix (owner decision on blocked classes: PortWatch rights, Comtrade hold, GDELT lawful-collection design); build the missing connector families (see AU-OBS-0003-AU-OBS-0012, AU-OBS-0013, AU-OBS-0028); keep coverage limits visible per class in the observation operations view.","Merged: C-013/V00-T-118 (constitution), V00-T-008 (observe everything with visible limits), V02-T-175/176/177 (slide source groups), DP-10-001 (V7 external ingestion), DAT-IN-04 (external receiver component). V01-T-009 is explanatory (Volume 1). L1_CONNECTOR_COVERAGE.md: 3 of 20 classes, all partial."
AU-OBS-0002,"A governed custom source adapter can be registered and executed inside the same identity, network, credential, policy, evidence, quality and lifecycle boundaries as first-party connectors without architectural rework, through a published versioned adapter SDK.","All profiles; custom adapters may not bypass the connector SDK boundaries (egress allowlist, budgets, evidence admission).",V0:C-013; V3:L1-C02; V7:DP-14-001; V7:DP-14-003; V7:DAT-IN-02,V0:C-013,observation,yes,all,harness,open,P1,"apps/api/src/observation/connectors (rss.connector.ts, rest.connector.ts, upload.connector.ts, replay.ts); L1_CONNECTOR_COVERAGE.md (3 of 20 classes, all partial); SOURCE_INTEGRATION_STATUS.md (10 contracts, 4 live); e2e/phase1-observation.spec.ts; apps/api/src/observation/connectors/sdk.ts; apps/api/src/observation/connectors/http-client.ts; migrations/0022:156; migrations/0028:32; test/int/phase1-acceptance.test.ts; test/int/phase1-fault-injection.test.ts; apps/api/src/observation/connectors/replay.ts; apps/api/migrations/0022 §5 acquisition_attempts (attempt key idempotency), §12 checkpoints; apps/api/migrations/0028 (declared backfill windows); apps/api/src/observation/scheduling/scheduler.service.ts; apps/api/test/int/phase1-fault-injection.test.ts: F37-F46 idempotency; apps/api/test/int/phase4-acceptance.test.ts: P4-M0a closed-range backfill; apps/api/test/int/phase6-scheduled-collection.test.ts; apps/api/test/int/phase1-acceptance.test.ts: A9",Publish the connector SDK (apps/api/src/observation/connectors/sdk.ts) as a versioned external contract; add adapter registration (connector_kind beyond upload/rss/rest) with certification fixtures; prove a custom adapter runs under the same egress/budget/evidence boundaries.,C-013 second clause (custom sources). DP-14-003 boundary is proven for first-party connectors only.
AU-OBS-0003,"Government and regulation feeds are acquired by schedule or subscription with effective dates, jurisdiction and withdrawal semantics, and pass a coverage and legal-authority review.",Pattern SP-01; all profiles.,V7:SP-01,V7:SP-01,observation,yes,all,harness,open,P1,SOURCE_INTEGRATION_STATUS.md (EU sanctions RSS/CSV live via generic REST/RSS),Add effective-date/jurisdiction/withdrawal fields to the regulation feed contract; coverage and legal-authority review record per feed; today EU sanctions arrive via generic RSS/REST.,
AU-OBS-0004,"News and media feeds are acquired by API, RSS or crawl with publication, update, correction and provenance fields, and pass freshness, duplication and manipulation tests.",Pattern SP-02; all profiles.,V7:SP-02,V7:SP-02,observation,yes,all,harness,open,P1,apps/api/src/observation/connectors/rss.connector.ts (republished guid with new date = correction signal); apps/api/test/int/phase1-acceptance.test.ts: A6,"Add crawl acquisition, duplication and manipulation tests; republished-guid correction signal exists (rss.connector.ts, A6).",
AU-OBS-0005,"Financial market feeds are acquired by streaming or batch with exchange time, sequence and entitlement, and pass gap, latency and entitlement reconciliation tests.",Pattern SP-03; all profiles.,V7:SP-03,V7:SP-03,observation,yes,all,harness,open,P1,,"Build the market-feed connector (streaming/batch), entitlement binding and gap/latency reconciliation fixtures.",
AU-OBS-0006,"Research and scientific corpora are acquired by API, file or repository with version, authorship, retraction and license, and pass retraction and citation validation.",Pattern SP-04; all profiles.,V7:SP-04,V7:SP-04,observation,yes,all,harness,open,P1,,Build the research/scientific corpus connector with retraction and licence handling.,
AU-OBS-0007,"Patent and filing corpora are acquired by API or bulk file with filing identity, amendment and jurisdiction, and pass completeness and amendment replay tests.",Pattern SP-05; all profiles.,V7:SP-05,V7:SP-05,observation,yes,all,harness,open,P1,,Build the patent/filing connector with amendment replay.,
AU-OBS-0008,"Supply-chain feeds are acquired by API, EDI or file with parties, shipments, routes and confidence, and pass identity and transaction reconciliation.",Pattern SP-06; all profiles. PortWatch collection is blocked on rights (owner decision pending); UN Comtrade is on hold.,V7:SP-06,V7:SP-06,observation,yes,all,harness,open,P1,"SOURCE_INTEGRATION_STATUS.md (PortWatch replay, rights pending; un-comtrade-upload; synthetic carrier-advisories)",Resolve PortWatch rights (owner instruction) and the Comtrade hold; build an EDI/API supply-chain adapter with identity and transaction reconciliation; replay fixtures exist (SOURCE_INTEGRATION_STATUS.md).,"Present operating constraints (register: PortWatch permission, UN Comtrade hold) stay visible; they do not remove the requirement."
AU-OBS-0009,"Satellite and geospatial products are acquired as objects or via API with acquisition time, footprint, sensor and processing level, and pass geospatial alignment and custody checks.",Pattern SP-07; all profiles.,V7:SP-07,V7:SP-07,observation,yes,all,harness,open,P1,,Build the geospatial/satellite product pipeline with footprint/sensor metadata and alignment checks.,
AU-OBS-0010,"Climate and weather feeds are acquired as streams or forecast packages with observation-versus-model, horizon and revision fields, and pass temporal and model separation tests.",Pattern SP-08; all profiles.,V7:SP-08,V7:SP-08,observation,yes,all,harness,open,P1,,Build the climate/weather connector separating observed from modelled values and horizons.,
