id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes,source_ref,evidence_scope
PR-01-001,V8,"1 Product Authority, Scope, and Decision Rights",11,"The Eye SHALL provide a governed, role-appropriate capability through which authorized users can establish the controlled product baseline, assign singular decision rights, and resolve scope or authority conflicts before implementation.",V08-F001,governance-docs,missing,unverified,none,omission,P7-F,,"Build a product baseline registry: capability inventory, decision-rights/authority matrix, signed baseline decision record, conflict hold-and-route; authority today lives only in prose (PROGRESS.md 'Document authority model', FULL_PRODUCT_DELIVERY_REGISTER.md)",CAP-AU-01..03; C-001/003/004/051/052; never scheduled in docs/the-eye-master-build-prompt.md; verification class in source: Control + accountable,v08.txt:page 11:L326-L364,
PR-01-002,V8,"1 Product Authority, Scope, and Decision Rights",11,"The product SHALL persist, expose, version, and reconcile baseline identity, capability scope, accountable owner, authority class, controlling volume, decision record, exception, effective time, and supersession; identity, owner, effective time, status, provenance, and policy SHALL remain explicit.",V08-F001,governance-docs,missing,unverified,none,omission,P7-F,,"No persisted state for this chapter; build the object model with identity, owner, effective time, status, provenance and policy together with the capability in PR-01-001",verification class in source: Control + accountable,v08.txt:page 11:L336-L364,
PR-01-003,V8,"1 Product Authority, Scope, and Decision Rights",11,"The product SHALL enforce this human-authority boundary: AI and automation may prepare evidence and proposals; only the recorded human authority may approve product meaning, consequential scope, or institutional commitment.",V08-F001,governance-docs,missing,unverified,none,omission,P7-F,,"No capability exists to gate; when built, the boundary 'AI and automation may prepare evidence and proposals; only the recorded human authority may approve product meaning, consequential scope, or institutional commi' must be a PDP rule with named eligible authority, digest and audit",verification class in source: Control + accountable,v08.txt:page 11:L347-L364,
PR-01-004,V8,"1 Product Authority, Scope, and Decision Rights",11,"SaaS, Private Cloud, and On-Premise SHALL preserve identical outcome, object, human-authority, explanation, correction, export, replay, and failure semantics; operational variance SHALL be declared.",V08-F001,governance-docs,missing,unverified,none,omission,P7-D,,"Capability absent, so parity cannot be declared; when built, add the chapter's golden journey to the cross-profile conformance suite (ch. 65)",ADR-020; PAR catalog,v08.txt:page 11:L357-L364,
PR-01-005,V8,"1 Product Authority, Scope, and Decision Rights",12,"When a capability, requirement, owner, or decision cannot resolve to an approved authority, the product SHALL hold admission or release, preserve the disputed state, expose affected scope, and route the conflict through the recorded authority chain; it SHALL NOT represent unavailable, stale, unapproved, unsupported, or incomplete state as current and complete.",V08-F001,governance-docs,missing,unverified,none,omission,P7-F,,"No continuity path exists for 'a capability, requirement, owner, or decision cannot resolve to an approved authority'; build hold/expose/route behaviour with the capability",verification class in source: Journey + fault test,v08.txt:page 12:L370-L425,
PR-01-006,V8,"1 Product Authority, Scope, and Decision Rights",12,"Acceptance SHALL demonstrate a complete capability inventory, authority matrix, signed baseline decision record, conflict tests, and release evidence for the exact capability version, journey, role, tenant or domain, deployment, entitlement, data and model versions, configuration, consequence class, and period.",V08-F001,governance-docs,missing,unverified,none,omission,P7-F,,No capability and no acceptance evidence; AT-01 cannot start,AT-01,v08.txt:page 12:L381-L425,
PR-02-001,V8,2 Product Principles and User Value Contract,13,"The Eye SHALL provide a governed, role-appropriate capability through which authorized users can operate the closed strategic loop from observation through learning without collapsing The Eye into a chatbot, dashboard, BI platform, copilot, or reporting tool.",V08-F001,executive-os,partial,passed:harness,branch-only,phase6,P7-B,apps/api/src/decision/monitoring/monitoring.service.ts; apps/api/test/int/phase6-monitoring.test.ts: closure records the lessons as text on the outcomes; apps/api/test/int/phase6-replay.test.ts; PHASE6_REPORT.md §7.1 (Act VI),Learning stage is free text at closure; no governed lesson -> change proposal -> evaluation -> approval loop (P7-B); MET-001 loop-closure rate not computed; observe->learn loop proven only on the demo tenant,C-002; ADR-002 (not a chatbot/dashboard) holds by construction: no chat surface exists; verification class in source: End-to-end product,v08.txt:page 13:L455-L485,branch+test
PR-02-002,V8,2 Product Principles and User Value Contract,13,"The product SHALL persist, expose, version, and reconcile mission stage, user objective, work object, evidence state, uncertainty, recommendation, human decision, outcome, and learning disposition; identity, owner, effective time, status, provenance, and policy SHALL remain explicit.",V08-F001,executive-os,partial,passed:harness,branch-only,phase6,P7-B,"apps/api/migrations/0006_objects.sql (identity, owner, times, status, provenance, policy on every canonical object); apps/api/src/decision/monitoring/monitoring.service.ts; apps/api/test/int/phase6-monitoring.test.ts: closure records the lessons as text on the outcomes; apps/api/test/int/phase6-replay.test.ts; PHASE6_REPORT.md §7.1 (Act VI)",No stored 'principle conformance' or user-value state; mission stages are implicit in module lifecycles,verification class in source: Control + accountable,v08.txt:page 13:L466-L485,branch+main+test
PR-02-003,V8,2 Product Principles and User Value Contract,13,"The product SHALL enforce this human-authority boundary: the product shall improve human understanding and decision quality while preserving uncertainty, dissent, accountability, and the user's final authority.",V08-F001,executive-os,partial,passed:harness,merged,phase6,P7-B,apps/api/src/policy/pdp.service.ts; apps/api/test/unit/pdp.test.ts; apps/api/test/int/gate22-authority-matrix.test.ts: no port succeeds on a role outside its grantee set,"The boundary 'the product shall improve human understanding and decision quality while preserving uncertainty, dissent, accountability, and the user's final authority' is only approximated by coarse PDP roles; no named eligible authority, digest, expiry or separation record for this chapter's transi",verification class in source: Control + accountable | release_status branch-only → merged from the evidence at 2e83945,v08.txt:page 13:L477-L485,main+test
PR-02-004,V8,2 Product Principles and User Value Contract,14,"SaaS, Private Cloud, and On-Premise SHALL preserve identical outcome, object, human-authority, explanation, correction, export, replay, and failure semantics; operational variance SHALL be declared.",V08-F001,infrastructure,partial,unverified,branch-only,phase7,P7-D,docker-compose.yml (one local profile); infra/images/candidates/*.Dockerfile; .github/workflows/ci.yml: build-test,"One local Docker Compose profile only; no SaaS/Private Cloud/On-Premise deployment profiles, no golden-journey semantic diff across them, no declared operational variance (ch. 65, MET-035)",ADR-020; C-042; semantics are profile-independent by construction (single code path) but unproven,v08.txt:page 14:L491-L557,branch+main+test
