id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes,source_ref,evidence_scope,cap_alias
L1-C01,V3,9 World Observation Layer,25,"Source Registry and Contract Service Owns versioned source registry and contract definitions, resolution, compatibility, stewardship state, and lifecycle events within World Observation Layer.",V03-F003,observation,partial,passed:harness,branch-only,phase1,P1,"apps/api/src/observation/sources/sources.service.ts; apps/api/src/observation/sources/source-contract.ts; migrations/0022_observation.sql:743,811,883,1003; migrations/0028 (contract v2); test/int/phase1-acceptance.test.ts","Credential references are declared but never bound (source-contract.ts:256-259, http-client.ts:224,252); rights/purpose lifecycle beyond set_rights_state; stewardship state and lifecycle events for contracts",Volume 4 App A catalogues the same component; see v04.csv L1-C01 | release_status merged → branch-only from the evidence at 2e83945,v03.txt:page 25:L713-L747,branch+main+test,
L1-C02,V3,9 World Observation Layer,25,"Connector Runtime and Adapter SDK Mediates connector runtime and adapter sdk through authenticated, versioned, policy-evaluated contracts without leaking external semantics into the layer core.",V03-F003,observation,partial,passed:harness,branch-only,phase1,P1,apps/api/src/observation/connectors/sdk.ts; apps/api/src/observation/connectors/http-client.ts; migrations/0022:156; migrations/0028:32; test/int/phase1-acceptance.test.ts; test/int/phase1-fault-injection.test.ts,"Only upload/rss/rest connector kinds (1 of 20 Vol 0 source classes; L1_CONNECTOR_COVERAGE.md); enterprise apps/CDC, streaming, IoT, media, geospatial adapters absent; adapter SDK not published as versioned external contract","Volume 4 App A catalogues the same component; see v04.csv L1-C02 | UNRESOLVED pointer(s) at 2e83945: apps/api/src/observation/connectors/{upload,rss,rest}.connector.ts | release_status merged → branch-only from the evidence at 2e83945",v03.txt:page 25:L717-L747,branch+main+test,
L1-C03,V3,9 World Observation Layer,25,"Collection Scheduler and Subscription Manager Coordinates collection scheduler and subscription lifecycle, admission, ordering, retries, budgets, escalation, completion, and observable state.",V03-F003,observation,partial,passed:harness,branch-only,phase6,P1,"apps/api/src/observation/scheduling/scheduler.service.ts; apps/api/src/observation/scheduling/collection-worker.service.ts; migrations/0038_scheduled_collection.sql:172,193,202,233; migrations/0039; migrations/0040; test/int/phase6-scheduled-collection.test.ts; test/int/phase6-scheduler-capability.test.ts; test/int/phase6-scheduled-corrections.test.ts","Cadence polling only: no push subscriptions or stream endpoints, no per-source budgets/escalation, retry/backoff only in scheduler (scheduler.service.ts:165)",Scheduled collection is on branch scheduling/automatic-collection-2026-09 / phase6 stack (SCHEDULED_COLLECTION.md),v03.txt:page 25:L721-L747,branch+main+test,
L1-C04,V3,9 World Observation Layer,25,"Streaming and Batch Receivers Owns the streaming and batch receivers capability inside World Observation Layer, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F003,observation,partial,passed:harness,merged,phase1,P1,apps/api/src/observation/connectors/upload.connector.ts; apps/api/src/observation/sources/upload.controller.ts; test/int/phase1-acceptance.test.ts,"Batch receiver = file upload only; no streaming receiver (checkpointed, backpressured, replayable evidence stream), no CDC/event/IoT intake",Volume 4 App A catalogues the same component; see v04.csv L1-C04,v03.txt:page 25:L725-L747,main+test,
L1-C05,V3,9 World Observation Layer,25,"Raw Preservation and Evidence Vault Persists authoritative raw preservation and evidence vault state with version, integrity, policy, retention, and recovery semantics.",V03-F003,observation,partial,passed:harness,merged,phase1,P1,"apps/api/src/observation/vault/vault.service.ts:21-22,134-179,201,225-227; apps/api/src/observation/vault/evidence.service.ts; migrations/0022:360,375,395,415; test/int/phase1-acceptance.test.ts; test/int/gate22-evidence-deauthorization.test.ts",retention_profile declared never enforced; legal_hold column never read; no retention-expiry/purge job (only quarantine TTL sweep); recovery/restore of the vault untested,Volume 4 App A catalogues the same component; see v04.csv L1-C05,v03.txt:page 25:L728-L747,main+test,
L1-C06,V3,9 World Observation Layer,25,"Authenticity and Chain-of-Custody Service Owns the authenticity and chain-of-custody service capability inside World Observation Layer, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F003,observation,partial,passed:harness,merged,phase1,P1,"apps/api/src/observation/vault/vault.service.ts:134-179 (custody chain); apps/api/src/observation/agents/agents.service.ts (version-specific agent principal, code_digest); packages/contracts/src/jcs.ts (contentDigest); test/int/phase1-acceptance.test.ts; test/int/audit-chain.test.ts","No source-authenticity verification (signatures, TLS identity pinning, publisher keys); authenticity state is not a measured quality dimension",Volume 4 App A catalogues the same component; see v04.csv L1-C06,v03.txt:page 25:L731-L747,main+test,
L1-C07,V3,9 World Observation Layer,25,"Quarantine and Malware Inspection Owns the quarantine and malware inspection capability inside World Observation Layer, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F003,observation,partial,passed:harness,merged,phase1,P1,"apps/api/src/observation/quarantine/quarantine.service.ts; apps/api/src/observation/sweeper/sweeper.service.ts:102-117; apps/api/src/observation/connectors/content-controls.ts; migrations/0022:452,472; test/int/phase1-hostile-input.test.ts; test/int/phase1-fault-injection.test.ts",No anti-malware scanning or sandboxed content processing; quarantine is schema/size/hostile-input based only,Volume 4 App A catalogues the same component; see v04.csv L1-C07,v03.txt:page 25:L735-L747,main+test,
L1-C08,V3,9 World Observation Layer,25,"Source Health, Freshness, and Coverage Monitor Measures source health, freshness, and coverage monitor health and fitness, emits decision-active quality state, and initiates exception or remediation workflow.",V03-F003,observation,partial,passed:harness,merged,phase1,P1,"apps/api/src/observation/coverage/coverage.service.ts:49; apps/api/src/observation/coverage/facts.service.ts; migrations/0022:503,550,2073 (observation.replay_health); apps/web/app/observation/sources; test/int/phase1-acceptance.test.ts",Health state is computed and displayed but no SourceHealthChanged event and no exception/remediation workflow is initiated; derived products do not receive source-health impact markers,Volume 4 App A catalogues the same component; see v04.csv L1-C08,v03.txt:page 25:L739-L747,main+test,
L1-C09,V3,9 World Observation Layer,25,"Correction and Withdrawal Intake Owns the correction and withdrawal intake capability inside World Observation Layer, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F003,observation,implemented,passed:harness,merged,phase1,done,"apps/api/src/observation/corrections/corrections.service.ts:24-25; migrations/0022:579,597,1528,1555; test/int/phase1-acceptance.test.ts:702,731,751,770,805,939; test/int/phase3-corrections.test.ts",,Volume 4 App A catalogues the same component; see v04.csv L1-C09,v03.txt:page 25:L744-L747,main+test,
L2-C01,V3,10 Intelligence Layer,27,"Format Detection, OCR, Transcription, and Parsing Owns the format detection, ocr, transcription, and parsing capability inside Intelligence Layer, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F004,intelligence,partial,passed:harness,merged,phase2,P2,apps/api/src/observation/connectors/upload.connector.ts; apps/api/src/observation/connectors/content-controls.ts; apps/api/src/observation/connectors/xml-parse.ts; test/int/phase1-acceptance.test.ts,"No format-detection service, no OCR, no transcription; parsing limited to upload text/CSV/XML paths",Volume 4 App A catalogues the same component; see v04.csv L2-C01,v03.txt:page 27:L811-L849,main+test,
