id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes
V02-T-001,V2,Cover,1,"Volume 2 — Technical Presentation: The Operating System for Strategic Intelligence. OBSERVE / UNDERSTAND / PREDICT / SIMULATE / DECIDE / LEARN. Controlled technical baseline, inherited from Volume 0 and Volume 1 (1 August 2026).",V02-F001,governance-docs,implemented,not-applicable,merged,not-applicable,done,docs/The_Eye_Volume_2_Technical_Presentation_v1.1 elvin.pdf,,tracking id assigned (slides carry no requirement ids); cover slide; no product behaviour
V02-T-002,V2,Technical thesis,2,"Every observation, model, agent, scenario, simulation, recommendation, decision, and outcome remains connected to the same governed world.",V02-F001,memory-graph,partial,passed:harness,branch-only,phase6,P7-A,"apps/api/migrations/0006_objects.sql; apps/api/migrations/0024_graph_entities_edges_and_strategy.sql (graph.dependencies); apps/api/migrations/0041_decision_packages.sql (typed consequence citations); apps/api/test/int/phase6-decisions.test.ts: PROPOSE binds the version: DPK@v1 admitted, the digest an approval will sign, dependencies reaching the DEC",Models are not governed objects (no model registry object connected to the graph); only three bounded executive agents and the collection/extraction/resolution/forecast agents exist; learning outcomes are free text (0045 close_package lessons).,"tracking id assigned (slides carry no requirement ids); V00-F002, V00-F009"
V02-T-003,V2,Technical thesis,2,Shared semantics and identity across all ten layers.,V02-F001,memory-graph,implemented,passed:harness,branch-only,phase6,done,apps/api/migrations/0006_objects.sql (canonical header); apps/api/migrations/0024_graph_entities_edges_and_strategy.sql; apps/api/migrations/0032_twin_registry.sql (citations bind kind/id/version/digest); apps/api/test/int/phase3-acceptance.test.ts: resolves differently spelled mentions of the same identifier to ONE entity; apps/api/test/int/phase6-decisions.test.ts: an option on a completed run binds version and digest,,tracking id assigned (slides carry no requirement ids); layers 1-10 all cite graph ids and object versions; the agents layer (Phase 7) is the thinnest
V02-T-004,V2,Technical thesis,2,Temporal memory that preserves what changed and what was known.,V02-F001,memory-graph,implemented,passed:harness,merged,phase3,done,apps/api/test/int/phase1-acceptance.test.ts: a known-at query reproduces the pre-correction state without hindsight; apps/api/test/int/phase3-acceptance.test.ts: WORLD time and RECORD time are separate axes; apps/api/migrations/0035_twin_cutoffs_scenario_binding_reconciliation.sql; apps/api/migrations/0047_replay_prior_dissent.sql,,tracking id assigned (slides carry no requirement ids); replay layers (0043/0047) are branch-only; the known-at/two-clock model is on main
V02-T-005,V2,Technical thesis,2,"Bounded AI agents with explicit authority, evaluation, and stop conditions.",V02-F001,agents,partial,passed:harness,branch-only,phase6,P7-A,"apps/api/migrations/0044_executive_rooms_and_briefings.sql (executive.agents budgets, stop_conditions, escalation_principal_id); apps/api/migrations/0046_executive_agents_and_runs.sql; apps/api/test/int/phase6-agents.test.ts: a budget of three reads: the run stops before anything is admitted, records the reason and escalates to the named human; apps/api/test/int/phase1-acceptance.test.ts: a BUDGET BREACH stops the run and records it as budget_exceeded",No per-agent evaluation suite; no generic agent contract/runtime (Planner/Supervisor/Workflow); tool and side-effect declarations absent.,tracking id assigned (slides carry no requirement ids); phase7 scope per docs/the-eye-master-build-prompt.md
V02-T-006,V2,Technical thesis,2,Explainable foresight and reproducible simulation before commitment.,V02-F001,decision,implemented,passed:harness,branch-only,phase6,done,"apps/api/test/int/phase4-acceptance.test.ts: D1 · a forecast names distribution, horizon, drivers, assumptions and evidence — or is refused; apps/api/test/int/phase5-simulations.test.ts: a COLD process re-executes the stored contract with the pinned implementation and reaches the same digest; apps/api/test/int/phase6-decisions.test.ts: one common baseline: options whose simulated consequences rest on different control runs are refused at proposal",,tracking id assigned (slides carry no requirement ids)
V02-T-007,V2,Technical thesis,2,Named human authority at every consequential decision boundary.,V02-F001,decision,implemented,passed:harness,branch-only,phase6,done,"apps/api/migrations/0042_decision_approvals_and_commitment.sql (commit_package: decision_authority, C3, human gate); apps/api/test/int/phase6-approvals.test.ts: the human gate at the PEP: a non-human principal holding decision_authority is refused before any port; apps/api/test/unit/pdp-phase6-authority.test.ts: allows a decision_authority at C3 with the human_gate obligation; apps/api/test/int/phase1-acceptance.test.ts: the REGISTRAR MAY NEVER APPROVE their own registration",,"tracking id assigned (slides carry no requirement ids); source approval, review decisions, resolution decisions and commitment are all human-gated; release-pipeline approvals (Phase 7) are audited at slide 27"
V02-T-008,V2,Technical thesis,2,"The architecture is designed to remain coherent as models, databases, interfaces, and infrastructure evolve.",V02-F001,governance-docs,implemented,not-applicable,merged,not-applicable,done,,,tracking id assigned (slides carry no requirement ids); explanatory design intent
V02-T-009,V2,Technical thesis,3,"Volume 2 inherits the constitutional commitments C-001 through C-052, the ten named layers, Knowledge Graph centrality, human decision sovereignty, and SaaS, Private Cloud, and On-Premise parity.",V02-F001,governance-docs,implemented,not-applicable,merged,not-applicable,done,,,tracking id assigned (slides carry no requirement ids); cross-reference: V00-F001..V00-F052; parity is audited at slides 38-39 (V02-T rows for pages 38-39)
V02-T-010,V2,Technical thesis,3,"Volume 2 defines the technical operating logic (layer responsibilities, object and event movement, agent and model boundaries, trust and provenance behavior, deployment and operational qualities) and does not replace Volumes 3-7.",V02-F001,governance-docs,implemented,not-applicable,merged,not-applicable,done,,,tracking id assigned (slides carry no requirement ids); scope statement; Volumes 3-7 audited separately
