unit_id,statement,condition,source_rows,primary_source,capability_area,mandatory,profiles,evidence_class,status,package,evidence,remaining_work,notes
AU-DEC-0001,"Commitment of a decision package (C3) is executed only by a named human decision_authority; an agent, workload or any non-human principal holding decision_authority or decision_approver is refused at the PEP before any port.","every consequential/high-impact decision; the human gate is discharged at the PEP, not by role name; applies to all deployment profiles",V0:C-004; V0:V00-T-011; V8:PR-39-003; V8:PR-38-003; V2:V02-T-007; V2:V02-T-088; V3:ADR-0007; V3:V03-T-363; V3:V03-T-165; V4:ES-42-001; V5:V05-T-003; V5:AI-51-004; V5:AI-C020; V1:V01-T-007,V0:C-004,decision,yes,all,harness,verified:local,R0,"migrations/0042_decision_approvals_and_commitment.sql (commit_package: C3, decision_authority not among approvers); apps/api/src/decision/approvals/approval.service.ts; test/int/phase6-approvals.test.ts: 'the human gate at the PEP: a non-human principal holding decision_authority is refused before any port', 'the ROUTE pins C3 whatever the envelope claims'; test/int/phase6-agents.test.ts: 'approve, dissent and commit are refused at the PDP with no grant'; test/unit/pdp-phase6-authority.test.ts: 'allows a decision_authority at C3 with the human_gate obligation'","Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter.","Merged: C-004 (final authority), PR-39-003 (no proxy approval by AI/workflow/admin/services/marketplace packages), PR-38-003 (AI cannot approve or commit; the 'cannot conceal alternatives' condition is AU-DEC alternatives unit), V03-T-165/AI-51-004 (agent self-approval and agent commitment refused), ES-42-001 (explicit human gate owned by an authorized named role), AI-C020 (human gate service binds named human to digest). V1:V01-T-007 restates C-004. Delegation/recusal are not modelled (open unit on authority transitions)."
AU-DEC-0002,"No model confidence, agent consensus, elapsed time, workflow timeout, administrative status, service identity or prior approval is interpreted as current human consent; silence never converts into approval.",consequential decisions and external side effects,V3:V03-T-233; V5:AI-03-002,V3:V03-T-233,decision,yes,all,harness,verified:local,R0,"migrations/0042 (approval only by explicit record_approval); test/int/phase6-approvals.test.ts: 'expiry ends an approval', 'the same human twice is one', 'the PEP discharges the human gate BEFORE any port: an agent or workload holding decision_approver is refused with EYE-WFL-002'","Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter.",V03-T-233 (timeout) and AI-03-002 (list of non-consent signals) kept as one obligation with the union of conditions.
AU-DEC-0003,"Approval eligibility is evaluated at action time against the as-of role/scope record and is never inferred from task visibility, prior role, agent delegation or administrative privilege.","every approval, revocation and commitment port",V4:ES-42-003,V4:ES-42-003,decision,yes,all,harness,verified:local,R0,"migrations/0049:239,257 (as-of eligibility at action time); 0042:100 (eligibility), :186 (stale context); 0043:129 (holds_role); test/int/phase6-approvals.test.ts:91,105,141","Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter.",
AU-DEC-0004,"The approving principal is distinct from the proposing principal, the author cannot be the only approver the policy names, and the committer is never an approver (separation of preparation, approval and commitment).",where separation-of-duties policy requires it; C3 commitment always,V3:V03-T-158; V3:V03-T-361; V4:ES-42-004,V3:V03-T-158,decision,yes,all,harness,verified:local,R0,"migrations/0042:190 (SoD); 0043:33 (committer != approver); test/int/phase6-approvals.test.ts:91,105,154: 'refuses ... self-approval by the author'; test/int/phase6-decisions.test.ts: 'the author cannot be the only approver the policy names'","Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter.",V03-T-361 (37.5 review and decide) is covered for approve/override-by-SoD; its reject/defer/request-information verbs are the open reject-defer unit.
AU-DEC-0005,"An approval binds the exact package version digest and policy revision; a wrong digest is refused and a digest change invalidates every prior approval, requiring full re-review.",any change to the proposed version,V8:FEX-17; V3:V03-T-365; V3:V03-T-231; V5:AI-59-002; V5:AI-59-003; V5:AI-36-004,V8:FEX-17,decision,yes,all,harness,verified:local,R0,"migrations/0042:164,186; test/int/phase6-approvals.test.ts: 'refuses a wrong digest', 'approval signs the digest read', F2/F3 (commit revalidates digest, freshness, SoD, stop conditions); test/int/phase6-decisions.test.ts: 'a new version ... proposing it supersedes'","Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter.","AI-59-002/003 and AI-36-004 (agents area) are satisfied for internal commitments only; their external side-effect condition is AU-AGT gate-for-agent-effects. V03-T-231 also lists overrides, which are not a recorded object (open override unit)."
AU-DEC-0006,"Approval quorum is met by role-at-scope with a quorum of distinct named humans; the same human approving twice counts once; an approval creates a non-repudiable record with identity, authority, digest and rationale.",approver_policy declared on the package version,V8:OBJ-34; V2:V02-T-087,V8:OBJ-34,decision,yes,all,harness,verified:local,R0,"migrations/0042 (record_approval, quorum, role-at-scope); test/int/phase6-approvals.test.ts: 'a named approver approves: APR admitted, the version and package approved at quorum', 'role-at-scope with a quorum of two DISTINCT humans; the same human twice is one'","Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter.",
AU-DEC-0007,An approver may revoke their own approval (breaking quorum) and an approval expires at its declared time; both are explicit append-only transitions with audit evidence.,before commitment,V8:FEX-16; V4:ES-42-005,V8:FEX-16,decision,yes,all,harness,verified:local,R0,"migrations/0042:225 (revoke_approval); 0043:103 (post-commit revocation history); test/int/phase6-approvals.test.ts:208: 'revocation is the approver's own act; it breaks quorum', 'expiry ends an approval'","Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter.","Only the expiry and withdrawal transitions of ES-42-005 are verified; delegation, reassignment, challenge and emergency override are the next unit. FEX-16 held transition (no commit without quorum) is satisfied; delegation/expiry of authority are not exposed to the user."
AU-DEC-0008,"Delegation, reassignment, challenge and emergency override of approval authority exist as explicit transitions, each with independent audit evidence, and the held transition exposes required authority, delegation and expiry.","while the approval authority is unavailable, draft and review continue",V8:FEX-16; V8:PR-39-003; V4:ES-42-005; V10:V10-T-007,V8:FEX-16,decision,yes,all,harness,open,P6,,"Add delegation, reassignment, challenge and emergency-override transitions to decision.approvals (0042) with their own PDP actions, audit causation and expiry; expose them on the held transition (FEX-16); add harness cases for each transition and for recusal.",PR-39-003 REM: delegation and recusal not modelled. V10-T-007: no appeal route for a decided package.
AU-DEC-0009,"An eligible human authority can reject or defer a proposed decision, or request information, recording rationale, conditions, digest and next review date as a durable record.",reject/defer/request-for-information are distinct transitions from approval,V8:OBJ-35; V3:V03-T-164; V3:V03-T-361; V4:V04-T-036,V8:OBJ-35,decision,yes,all,harness,open,P6,,"Add reject, defer and request_information transitions to the package state machine (0041) with a record (rationale, conditions, digest, next_review_at); PDP actions for eligible authorities; harness cases incl. that a deferred package is not decision-active.","V03-T-361 lists reject/defer/request-information/condition among the 37.5 verbs; only approve and condition-recording exist. V04-T-036 degraded behaviour 'allow human deferral, rejection, or request for information' has no dedicated test."
AU-DEC-0010,"A human override of a recommendation or of an insufficient approval is a recorded object capturing authority, reason, evidence, intended effect, residual risk, expiry and review; overrides are examined as evidence rather than treated as failure.",override without authority is denied; the C3 quorum path is not bypassed silently,V0:V00-T-024; V2:V02-T-170; V3:L9-I03; V5:AI-03-004; V9:HX-19; V1:V01-T-017; V1:V01-T-007,V0:V00-T-024,decision,yes,all,harness,open,P6,,"Introduce decision.overrides (authority, reason, evidence refs, intended effect, residual risk, expiry, review) bound to the package version digest; PDP action for the decision_authority; render HX-19 in apps/web decisions; harness: override by a non-authority denied, override appears in replay 'decided' layer.","V00-T-024 'any override', V02-T-170 'approval, dissent, and override', L9-I03 'overrides', AI-03-004 'reservations, overrides, obligations', HX-19 (Volume 9, agents area) all name the same record; none exists (rows partial)."
